column,english_description,exclusion_category,reason,dtype,missing_count,missing_pct
transportcc,Needed Health Care Not Received Due to - Getting Transportation,결측치 과다,결측 비율이 50% 이상,float64,49650,96.6423
notopen,Needed Health Care Not Received Due to - Office Not Open,결측치 과다,결측 비율이 50% 이상,float64,49650,96.6423
issuecost,Needed Health Care Not Received Due to - Cost,결측치 과다,결측 비율이 50% 이상,float64,49650,96.6423
hospitalstay,Admitted to Hospital,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,268,0.5217
k6q15,Special Education Plan,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,204,0.3971
sescurrsvc,Special Education Plan - Currently,결측치 과다,결측 비율이 50% 이상,float64,42986,83.671
k4q36,Received Special Services,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,1363,2.653
k4q38,Received Special Services - Currently,결측치 과다,결측 비율이 50% 이상,float64,41905,81.5669
k5q10,Need a Referral,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,350,0.6813
decisions_r,Health Care Decisions Needed,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,7016,13.6564
k5q21,Arrange Or Coordinate Care Extra Help,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,22695,44.1752
treatchild,Doctors Treat Only Children,결측치 과다,결측 비율이 50% 이상,float64,29706,57.8219
treatadult,Talked About Child Seeing Doctors Who Treat Adults,결측치 과다,결측 비율이 50% 이상,float64,37865,73.7032
medhistory,Receive Summary of Medical History,결측치 과다,결측 비율이 50% 이상,float64,29697,57.8044
writeplan,Doctor Worked with You and Child To Create Written Plan,결측치 과다,결측 비율이 50% 이상,float64,29717,57.8433
receivecopy,Have Access to Plan of Care,결측치 과다,결측 비율이 50% 이상,float64,45105,87.7956
healthknow,How Child Will Be Insured as an Adult,결측치 과다,결측 비율이 50% 이상,float64,29739,57.8861
keepinsadult,How to Obtain/Keep Health Insurance as Child Becomes Adult,결측치 과다,결측 비율이 50% 이상,float64,43093,83.8793
currcov,Health Insurance Coverage - Currently Covered (Use CURRINS),현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,369,0.7182
k12q03,Health Insurance - Current/Former Employer or Union,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,3092,6.0185
k12q04,Health Insurance - Insurance Company,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,3092,6.0185
k12q12,Health Insurance - Government Assistance Plan,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,3092,6.0185
tricare,Health Insurance - TRICARE,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,3092,6.0185
k11q03r,Health Insurance - Indian Health Service,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,3092,6.0185
hccovoth,Health Insurance - Other,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,3092,6.0185
k3q25,Problems Paying for Medical or Health Care,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,12413,24.1616
stopwork,Past 12 Months - Stopped Working because of Health Status,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,566,1.1017
cuthours,Past 12 Months -Cut Hours because of Health Conditions,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,690,1.3431
avoidchg,Past 12 Months - Avoided Changing Jobs to Maintain Health Insurance,현재 프로젝트 목적과 관련 없음,1단계의 사전 정의 영역 후보에 포함하지 않음,float64,663,1.2905
oneword,Say One Word,결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
twowords,Use Two Words Together,결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
threewords,Use Three Words Together,결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
askquestion,"Ask Questions: Who, What, When, Where",결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
askquestion2,"Ask Questions:  Why, How",결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
tellstory,Tell a Story,결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
understand,Understand 'No',결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
directions,Follow Verbal Directions,결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
point,Point to Things,결측치 과다,결측 비율이 50% 이상,float64,39257,76.4127
