column,english_description,dtype,missing_count,missing_pct
k11q60,Cash Assistance from Government - Past 12 Months,float64,1314,2.5577
k11q61,Food Stamps - Past 12 Months,float64,1350,2.6277
k11q62,Free or Reduced Cost Meals - Past 12 Months,float64,1369,2.6647
ebtcards,School Meal Debit ,float64,1481,2.8827
s9q34,WIC Benefits - Past 12 Months,float64,1368,2.6628
ssi,Receive SSI ,float64,1097,2.1353
ssidisability,Receive SSI for Disability ,float64,50214,97.7401
k10q11,Neighborhood - Sidewalks or Walking Paths,float64,1274,2.4798
k10q12,Neighborhood - Park or Playground,float64,1390,2.7056
k10q13,Neighborhood - Recreation Center,float64,1404,2.7328
k10q14,Neighborhood - Library or Bookmobile,float64,1402,2.729
k10q20,Neighborhood - Litter or Garbage,float64,1362,2.6511
k10q22,Neighborhood - Poorly Kept or Rundown Housing,float64,1391,2.7075
k10q23,Neighborhood - Vandalism,float64,1328,2.5849
k9q96,Other Adult Child Can Rely On For Advice,float64,15076,29.345
ace3,Child Experienced - Parent or Guardian Divorced,float64,1823,3.5484
ace4,Child Experienced - Parent or Guardian Died,float64,1885,3.6691
ace5,Child Experienced - Parent or Guardian Time in Jail,float64,1973,3.8404
ace6,"Child Experienced - Adults Slap, Hit, Kick, Punch Others",float64,1972,3.8384
ace7,Child Experienced - Victim of Violence,float64,1942,3.78
ace8,Child Experienced - Lived with Mentally Ill,float64,1969,3.8326
ace9,Child Experienced - Lived with Person with Alcohol/Drug Problem,float64,2013,3.9182
ace10,Child Experienced - Treated Unfairly Because of Race,float64,2010,3.9124
ace11,Child Experienced - Treated Unfairly Because of Health Condition,float64,1872,3.6438
videophone,Virtual Health Care Visits,float64,1687,3.2837
a1_deplstat,Adult 1 - Deployment Status,float64,49136,95.6418
a2_deplstat,Adult 2 - Deployment Status,float64,48869,95.1221
allergies_desc,Allergies Severity Description,float64,38581,75.0968
k2q40c,Asthma Severity Description,float64,47533,92.5217
autoimmune_desc,Autoimmune Disease Description,float64,50727,98.7387
cerpals_desc,Cerebral Palsy Severity Description,float64,51248,99.7528
diabetes_desc,Diabetes Severity Description,float64,51335,99.9221
k2q42c,Epilepsy Severity Description,float64,51045,99.3577
heart_desc,Heart Condition Severity Description,float64,50658,98.6044
headache_desc,Headaches Severity Description,float64,49886,97.1017
k2q38c,Tourette Syndrome Severity Description,float64,51223,99.7041
k2q33c,Anxiety Severity Description,float64,44697,87.0015
k2q32c,Depression Severity Description,float64,48843,95.0715
blood_desc,Blood Disorder Severity Description,float64,51119,99.5017
cystfib_desc,Cystic Fibrosis Severity Description,float64,51340,99.9319
k2q34c,Behavior Problems Severity Description,float64,47570,92.5937
k2q36c,Developmental Delay Severity Description,float64,48489,94.3825
k2q60c,Intellectual Disability Severity Description,float64,50714,98.7134
k2q37c,Speech Disorder Severity Description,float64,48361,94.1333
k2q30c,Learning Disability Severity Description,float64,47522,92.5002
k2q35c,Autism ASD Severity Description,float64,49162,95.6925
k2q31c,ADD/ADHD Severity Description,float64,45107,87.7995
engageconcern,Concerned over Child's Engagement in Eating Behaviors,float64,39869,77.6039
bodyimage,Child's concern over body image ,float64,14213,27.6652
bounceaball,Bounce Ball,float64,44059,85.7596
drawacircle,Draw a Circle,float64,44049,85.7401
drawaface,Draw a Face,float64,44056,85.7538
drawaperson,Draw a Person,float64,44057,85.7557
a1_sex,Adult 1 - Sex,float64,1453,2.8282
a1_born,Adult 1 - Where Born,float64,1424,2.7718
a1_employed_r,Adult 1 - Current Employment Status,float64,1691,3.2915
a1_grade,Adult 1 - Highest Completed Year of School,int8,0,0.0
a1_marital,Adult 1 - Marital Status,float64,1672,3.2545
a1_relation,Adult 1 - How Related to Child,float64,1262,2.4564
a2_sex,Adult 2 - Sex,float64,9243,17.9912
a2_born,Adult 2 - Where Born,float64,9366,18.2307
a2_employed_r,Adult 2 - Current Employment Status,float64,9177,17.8628
a2_grade,Adult 2 - Highest Completed Year of School,float64,9186,17.8803
a2_marital,Adult 2 - Marital Status,float64,9298,18.0983
a2_relation,Adult 2 - How Related to Child,float64,1668,3.2467
a1_active,Adult 1 - Active Duty,float64,1607,3.128
a2_active,Adult 2 - Active Duty,float64,9122,17.7557
a1_physhealth,Adult 1 - Physical Health,float64,1622,3.1572
a1_menthealth,Adult 1 - Mental or Emotional Health,float64,1620,3.1533
a2_physhealth,Adult 2 - Physical Health,float64,9206,17.9192
a2_menthealth,Adult 2 - Mental or Emotional Health,float64,9200,17.9075
k2q01,General Health,float64,161,0.3134
k2q01_d,Teeth Description,float64,119,0.2316
k5q40,How Often - Spend Enough Time,float64,7104,13.8277
k5q41,How Often - Listen Carefully,float64,7211,14.036
k5q42,How Often - Show Sensitivity,float64,7231,14.0749
k5q43,How Often - Provide Specific Information,float64,7224,14.0613
k5q44,How Often - Feel Like a Partner,float64,7168,13.9523
discussopt,How Often - Provider Discussed Range of Options,float64,31216,60.7611
raiseconc,How Often - Easy to Raise Concerns or Disagree,float64,31224,60.7766
bestforchild,How Often - Work to Decide Together Treatment,float64,31198,60.726
k3q20,Health Insurance - Benefits Cover Services,float64,3077,5.9893
k3q22,Health Insurance - Allow to See Provider,float64,3115,6.0633
k3q21b,How Often Costs Reasonable,float64,12431,24.1966
k6q70_r,Affectionate,float64,37736,73.4521
k6q73_r,Bounces Back,float64,37749,73.4774
k6q71_r,Show Interest and Curiosity,float64,628,1.2224
k6q72_r,Smiles Laughs,float64,37727,73.4345
k7q84_r,Works to Finish Tasks Started,float64,14392,28.0136
k7q85_r,Stays Calm and In Control When Challenged,float64,14402,28.0331
k7q82_r,Cares About Doing Well in School,float64,14424,28.0759
k7q83_r,Does All Required Homework,float64,14456,28.1382
k7q70_r,Argues Too Much,float64,14416,28.0603
bullied_r,"Bullied, Picked On, or Excluded by Others",float64,14414,28.0564
bully,"Bullies Others, Picks on Them, or Excludes Them",float64,14394,28.0175
