column,korean_name,domain,response_code,low_count,high_count,low_rate,high_rate,difference_pp
foodsit,최근 12개월 가구 식품 상황,경제,4.0,75,24,0.004044652968775279,0.03153745072273324,2.7492797753957965
homeevic,주거 퇴거 걱정,주거 안정,1.0,139,40,0.00749609016879685,0.052562417871222074,4.506632770242523
homeevic,주거 퇴거 걱정,주거 안정,2.0,176,39,0.009491452300059322,0.051248357424441525,4.17569051243822
homeevic,주거 퇴거 걱정,주거 안정,3.0,744,112,0.04012295745025077,0.1471747700394218,10.705181258917104
homeevic,주거 퇴거 걱정,주거 안정,4.0,1295,102,0.06983767459418648,0.1340341655716163,6.419649097742981
homeevic,주거 퇴거 걱정,주거 안정,5.0,16158,466,0.8713800355929461,0.6123521681997371,-25.902786739320895
k7q04r_r,학교가 가정에 문제로 연락한 횟수,학교 생활,1.0,10110,296,0.5452192201909076,0.38896189224704336,-15.625732794386426
k7q04r_r,학교가 가정에 문제로 연락한 횟수,학교 생활,2.0,1794,109,0.09674809901310467,0.14323258869908015,4.648448968597547
k7q04r_r,학교가 가정에 문제로 연락한 횟수,학교 생활,3.0,1846,245,0.0995523917381222,0.3219448094612352,22.239241772311303
bullied_r,최근 따돌림·괴롭힘 경험,학교·사회생활,1.0,6840,170,0.36887235075230546,0.2233902759526938,-14.548207479961164
bullied_r,최근 따돌림·괴롭힘 경험,학교·사회생활,2.0,4918,236,0.2652213773391576,0.31011826544021026,4.489688810105264
bullied_r,최근 따돌림·괴롭힘 경험,학교·사회생활,3.0,1271,121,0.06854338564417839,0.1590013140604468,9.04579284162684
bullied_r,최근 따돌림·괴롭힘 경험,학교·사회생활,4.0,567,83,0.030577576443941108,0.10906701708278581,7.84894406388447
bullied_r,최근 따돌림·괴롭힘 경험,학교·사회생활,5.0,224,43,0.0120800302000755,0.056504599211563734,4.442456901148824
