screen_rank,column,domain,nonmissing_count,missing_rate,category_count,test_method,chi_square,p_value,effect_size,rf_importance,effect_rank,rf_rank,combined_rank,significant_0_05
52,k7q85_r,학교·사회생활,8699,0.24885588463863229,4,카이제곱 검정 / Cramér's V,111.67428540568919,4.786209380930667e-24,0.11330313475593352,0.004294817187083749,47.0,56.0,103.0,True
53,hoursleep,생활습관,8717,0.24730161471375534,7,카이제곱 검정 / Cramér's V,67.93035130564769,1.0856957994382231e-12,0.08827717106632223,0.004710346243643254,70.0,49.0,119.0,True
54,k8q34,학교·사회생활,11532,0.004231068128831672,5,카이제곱 검정 / Cramér's V,86.06919573888251,8.99716425222099e-18,0.08639160759525799,0.004607179775572916,73.0,53.0,126.0,True
55,wktosolve,기타 설문 항목,11490,0.007857697953544629,4,카이제곱 검정 / Cramér's V,103.02085743156209,3.482278946615849e-22,0.09468966187187546,0.003823619562689405,63.0,63.0,126.0,True
56,a2_employed_r,가족·가구,9916,0.1437699680511182,6,카이제곱 검정 / Cramér's V,145.66005645948755,1.1196021399397377e-29,0.12119982086289242,0.0030912394886285464,42.0,88.0,130.0,True
57,ssi,경제·지원,11569,0.0010361799499180036,2,카이제곱 검정 / Cramér's V,216.69185447870944,4.7642971587679445e-49,0.1368590063857582,0.0025306843859082316,29.0,103.0,132.0,True
58,k2q01,건강·의료 관련,11554,0.0023314048873154247,5,카이제곱 검정 / Cramér's V,90.03186863676073,1.2963920893394019e-18,0.08827382602142331,0.003937832459893748,71.0,62.0,133.0,True
59,vape,기타 설문 항목,11448,0.011484327778257475,2,카이제곱 검정 / Cramér's V,96.39376376566791,9.416328473847372e-23,0.09176132132516764,0.0036202245394588006,67.0,69.0,136.0,True
60,k10q30,주거·동네·경제,11537,0.0037993264830326057,4,카이제곱 검정 / Cramér's V,87.10687408274808,9.159072977346794e-19,0.08689199492214744,0.003681478687336823,72.0,66.0,138.0,True
61,k8q30,학교·사회생활,11554,0.0023314048873154247,4,카이제곱 검정 / Cramér's V,97.85561723292021,4.492909316908772e-21,0.09202942291326362,0.0035533829146407216,66.0,73.0,139.0,True
